,EX_rib__D_e_i,EX_malt_e_i,EX_melib_e_i,EX_tre_e_i,EX_fru_e_i,EX_gal_e_i,EX_ac_e_i,EX_lac__D_e_i,EX_succ_e_i,EX_pyr_e_i,GR_1,GR_2,GR_3,GR_4,GR_5,GR_6,GR_7,GR_8,GR_AVG,GR_STD
55,0,0,0,0,0,0,0,1,1,0,,0.1498416344895747,0.1624051236834529,0.1220303481186245,0.1468892720168949,0.124606738080211,0.1292425220768936,0.122412129239316,0.1367753953864239,0.0161164528337369
56,1,0,0,0,0,0,0,0,0,1,,,0.1441004032926716,0.1423204025175485,0.1272854474960129,0.1251482522771696,0.1422728428177677,,0.1362254696802341,0.0091973127815324
57,0,0,0,0,1,0,0,1,0,0,,,0.1124335862890725,0.1024751189319708,0.1075954142254775,,0.1208911577462396,0.0935178244888101,0.1073826203363141,0.01029993028104
58,0,0,1,0,0,0,0,0,1,0,,0.2208496775806631,0.2238433070201901,0.2502353982580283,0.2252660510724242,,0.2276171481421305,0.2182804580877007,0.2276820066935228,0.0115265083328198
59,0,0,0,0,0,1,0,0,0,1,,0.1896748672828158,0.2048365886921751,0.2092667357831548,0.1898866268216975,0.2047615704357987,0.2139732043755385,,0.2020665988985301,0.0101039761719271
60,0,0,0,0,0,1,0,0,1,1,,0.2658581877590816,0.2713589578893739,0.2118530033015144,0.2097726499376891,0.2024402710759948,0.2039859886978473,,0.2275448431102502,0.0320466312646185
61,0,0,1,0,0,1,0,1,0,0,0.2286812440952977,0.2399181676435436,0.2039178685222369,0.2066382148483094,0.1999551510842867,,0.2119364089736397,0.2007089514852512,0.2131080009503665,0.0153608491595677
62,0,1,0,0,0,0,1,0,0,1,0.2596835139730531,0.2538684754945697,,0.2661797057425218,0.253968253436606,0.2889223431076699,0.2667629437360617,0.2477177344892853,0.2624432814256811,0.0135620334134805
63,1,0,1,0,0,0,0,0,0,1,0.2061880906207136,0.2060794275106182,0.1495356572926098,0.18918887793216,0.1598697927970531,0.1964577744037118,0.183551053785585,0.1988009203500876,0.1862089493365674,0.0210856215001352
64,0,1,0,0,1,0,0,1,0,0,0.1593545581847319,0.183586880154337,0.1620551929221249,0.1497797760866941,0.1604445122436328,0.1665792729444881,0.1788454465238731,0.1895049954448142,0.168768829313087,0.0137294022326239
65,0,1,0,1,1,0,0,0,0,0,0.3565710530221525,0.369921920985463,0.3522946585452551,0.2990438307576477,0.3100383180517261,0.4846922148913462,,,0.3620936660422651,0.0661864737566311
66,1,0,1,0,0,0,0,0,1,0,,,,,,0.2874331377492322,0.2267966178536259,0.250521876453004,0.2549172106852873,0.0305562777268873
67,0,0,0,1,0,1,0,0,0,1,0.248395588427553,0.2382535033818729,,0.2646824392500162,0.270190521515349,0.2259761413646359,0.2100207718029043,,0.2429198276237219,0.0229717083665373
68,1,0,0,0,0,1,0,1,0,0,0.2061990165773599,0.1584651702524702,0.1714485072310608,0.2010522574712585,0.2277949654288516,,,0.1967079686798505,0.1936113142734752,0.0249734683827992
69,1,1,0,0,1,0,0,0,0,0,0.3399168548003194,0.3389514469813777,0.3160899343216902,0.3056546247325204,0.3448545776630894,0.3561420278708415,0.3464647796005548,0.3407592397754885,0.3361041857182352,0.0167224625519457
